EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
33,51.0,Yes,Travel_Rarely,385,Sales,11,3,Human Resources,1,3,Male,75,4,1,Sales Executive,1,Divorced,2466.0,20077,2,Y,Yes,15,3,2,80,2,25,2,2,25,16,9,10
34,49.0,No,Travel_Rarely,973,Human Resources,16,1,Other,1,1,Female,83,3,5,Manager,1,Married,8086.0,7887,7,Y,No,15,3,1,80,2,6,2,2,6,3,15,2
35,38.0,No,Travel_Frequently,1358,Human Resources,13,4,Life Sciences,1,3,Female,60,2,5,Human Resources,3,Single,17221.0,23028,1,Y,No,20,3,3,80,3,38,3,4,38,14,2,5
36,38.0,No,Travel_Rarely,201,Research & Development,28,3,Other,1,1,Male,53,1,3,Manufacturing Director,1,Single,7236.0,4821,6,Y,No,18,3,2,80,2,30,6,4,30,25,6,22
37,28.0,No,Travel_Rarely,239,Research & Development,4,4,Technical Degree,1,4,Male,54,4,3,Healthcare Representative,3,Married,16190.0,22046,2,Y,No,11,3,3,80,1,4,2,4,4,3,8,3
38,56.0,Yes,Travel_Rarely,934,Sales,16,4,Life Sciences,1,2,Male,64,2,4,Sales Representative,4,Single,19999.0,16754,8,Y,Yes,11,3,3,80,0,34,3,4,34,24,13,1
39,21.0,Yes,Travel_Rarely,365,Research & Development,13,4,Life Sciences,1,4,Male,86,1,5,Laboratory Technician,2,Married,19999.0,18025,6,Y,No,13,4,3,80,0,13,0,4,13,12,0,6
40,18.0,No,Travel_Frequently,1465,Research & Development,29,1,Technical Degree,1,1,Female,98,3,5,Manufacturing Director,3,Married,15724.0,18218,8,Y,No,21,3,1,80,1,35,0,1,35,4,5,0
41,45.0,Yes,Travel_Rarely,672,Sales,1,5,Medical,1,1,Female,57,4,4,Manager,1,Single,12051.0,13421,1,Y,No,12,3,2,80,3,26,3,4,26,3,10,2
42,41.0,Yes,Non-Travel,634,Research & Development,22,3,Medical,1,3,Male,62,1,5,Manager,1,Single,5536.0,23578,5,Y,Yes,12,3,2,80,1,23,1,3,23,11,13,7
43,52.0,No,Travel_Rarely,622,Sales,4,2,Human Resources,1,1,Male,82,1,1,Sales Representative,4,Married,16292.0,3395,4,Y,No,12,4,4,80,2,39,1,1,39,30,1,29
44,30.0,Yes,Travel_Rarely,115,Human Resources,27,5,Marketing,1,4,Male,45,1,3,Manager,4,Single,13447.0,21351,1,Y,Yes,14,3,3,80,3,28,0,4,28,2,4,2
45,51.0,Yes,Travel_Rarely,660,Sales,15,1,Other,1,1,Female,55,1,3,Sales Representative,4,Single,3713.0,5961,3,Y,No,11,4,3,80,1,21,4,3,21,20,14,13
46,28.0,Yes,Travel_Rarely,977,Research & Development,26,4,Marketing,1,1,Male,41,1,3,Manager,4,Married,14368.0,4614,3,Y,Yes,20,3,4,80,3,7,1,1,7,2,13,2
47,53.0,No,Travel_Frequently,435,Research & Development,26,2,Human Resources,1,3,Female,60,3,2,Research Scientist,4,Divorced,15702.0,17053,7,Y,No,25,3,3,80,0,14,3,2,14,9,6,3
48,34.0,No,Travel_Rarely,1009,Research & Development,21,3,Marketing,1,1,Female,56,2,1,Manufacturing Director,2,Single,14055.0,25254,6,Y,No,19,3,1,80,1,4,0,1,4,1,13,1
49,52.0,No,Travel_Frequently,269,Research & Development,27,5,Life Sciences,1,3,Male,65,4,1,Research Director,3,Married,1870.0,19928,4,Y,Yes,24,3,4,80,1,3,2,4,3,0,6,0
50,35.0,Yes,Non-Travel,1012,Sales,25,5,Life Sciences,1,2,Female,88,3,4,Sales Representative,4,Married,3279.0,7225,8,Y,Yes,15,3,2,80,0,10,2,1,10,9,9,8
51,57.0,No,Travel_Rarely,218,Human Resources,16,2,Technical Degree,1,3,Male,32,4,2,Manager,4,Married,8874.0,14093,0,Y,No,15,4,3,80,3,17,6,1,17,1,15,0
52,39.0,Yes,Travel_Frequently,1165,Research & Development,4,1,Technical Degree,1,1,Female,61,1,5,Laboratory Technician,2,Divorced,2033.0,16702,3,Y,Yes,19,3,2,80,0,29,1,2,29,23,6,5
53,41.0,No,Travel_Frequently,1112,Human Resources,17,3,Human Resources,1,2,Male,44,2,1,Manager,3,Married,10463.0,14689,4,Y,No,24,3,3,80,3,14,4,1,14,10,11,7
54,36.0,No,Non-Travel,109,Research & Development,11,2,Human Resources,1,1,Male,95,1,2,Healthcare Representative,4,Divorced,3073.0,9986,7,Y,No,15,3,4,80,1,5,5,1,5,2,3,2
55,54.0,No,Non-Travel,529,Research & Development,25,4,Human Resources,1,3,Female,92,3,2,Research Director,3,Single,13181.0,23266,2,Y,No,23,3,2,80,3,15,1,2,15,6,11,2
56,56.0,No,Travel_Rarely,148,Human Resources,5,3,Life Sciences,1,4,Female,30,3,1,Human Resources,3,Single,13905.0,16660,4,Y,No,23,3,3,80,3,39,4,4,39,31,5,19
57,38.0,Yes,Non-Travel,306,Sales,26,5,Marketing,1,2,Female,34,4,4,Sales Representative,2,Divorced,7664.0,14660,2,Y,Yes,21,3,1,80,2,8,1,3,8,6,10,1
58,25.0,Yes,Non-Travel,613,Sales,13,2,Other,1,4,Male,35,1,2,Sales Executive,2,Married,8268.0,22817,6,Y,No,24,3,4,80,2,33,2,1,33,33,9,26
59,45.0,No,Travel_Rarely,1333,Sales,12,5,Human Resources,1,4,Female,34,1,3,Sales Executive,4,Single,9171.0,9034,9,Y,No,18,3,3,80,2,26,4,2,26,8,5,1
60,22.0,No,Travel_Rarely,1262,Research & Development,29,5,Human Resources,1,2,Male,57,2,2,Laboratory Technician,1,Married,19999.0,11637,2,Y,No,21,3,3,80,0,12,2,1,12,2,6,1
61,34.0,No,Travel_Rarely,136,Research & Development,27,5,Life Sciences,1,4,Female,98,2,5,Research Director,2,Divorced,14695.0,15580,6,Y,No,11,4,3,80,0,35,6,4,35,1,8,0
62,54.0,No,Non-Travel,317,Sales,23,1,Other,1,4,Male,73,1,1,Manager,3,Divorced,2766.0,12160,1,Y,No,11,3,4,80,2,26,3,4,26,18,5,15
63,53.0,No,Non-Travel,1401,Research & Development,3,5,Life Sciences,1,4,Female,45,4,5,Healthcare Representative,3,Single,8433.0,19480,6,Y,Yes,14,4,3,80,1,8,3,2,8,1,11,0
64,36.0,No,Travel_Rarely,279,Research & Development,4,4,Other,1,4,Female,51,2,4,Healthcare Representative,4,Divorced,7091.0,3204,8,Y,No,18,3,3,80,1,4,0,3,4,4,9,3
65,44.0,No,Travel_Rarely,229,Sales,28,4,Life Sciences,1,2,Female,52,1,3,Manager,4,Single,3242.0,12112,4,Y,No,13,3,2,80,1,21,2,3,21,2,0,0
66,51.0,Yes,Non-Travel,710,Research & Development,10,3,Marketing,1,1,Male,72,1,1,Manufacturing Director,4,Single,7306.0,26331,5,Y,No,11,3,2,80,0,30,2,1,30,4,7,4
67,28.0,No,Travel_Rarely,758,Sales,9,5,Human Resources,1,4,Male,97,1,2,Manager,3,Married,11101.0,25703,9,Y,No,21,3,4,80,3,2,6,2,2,2,1,1
68,29.0,No,Travel_Frequently,458,Research & Development,10,5,Medical,1,2,Female,72,3,3,Manager,2,Single,10910.0,5583,2,Y,No,22,4,4,80,0,29,0,3,29,26,2,13
69,38.0,No,Travel_Frequently,726,Sales,13,2,Medical,1,2,Male,55,4,2,Sales Representative,1,Married,12026.0,18256,9,Y,Yes,19,3,1,80,2,20,3,4,20,6,11,5
70,28.0,Yes,Travel_Frequently,1127,Human Resources,1,1,Human Resources,1,2,Female,70,1,4,Manager,2,Married,12052.0,13331,4,Y,No,19,3,3,80,3,34,3,3,34,5,4,0
71,56.0,Yes,Travel_Rarely,1206,Research & Development,12,3,Human Resources,1,2,Male,99,1,1,Healthcare Representative,1,Married,17129.0,9539,4,Y,No,19,3,2,80,1,5,4,2,5,5,5,0
72,45.0,Yes,Travel_Rarely,1277,Sales,11,5,Human Resources,1,3,Male,60,1,4,Manager,2,Single,19999.0,13611,2,Y,No,19,3,2,80,0,27,4,4,27,0,6,0
73,22.0,No,Travel_Rarely,605,Sales,21,2,Human Resources,1,1,Female,46,2,4,Manager,4,Single,1070.0,25524,7,Y,No,12,4,3,80,0,31,5,1,31,25,11,13
74,34.0,Yes,Travel_Rarely,917,Research & Development,8,1,Other,1,1,Female,38,1,4,Research Director,3,Married,10201.0,4038,5,Y,Yes,24,3,3,80,2,36,6,4,36,16,3,2
75,37.0,No,Travel_Rarely,893,Research & Development,26,3,Marketing,1,4,Male,84,3,4,Research Director,1,Married,8482.0,26563,2,Y,No,24,3,4,80,1,24,3,3,24,13,2,0
76,58.0,No,Travel_Rarely,938,Research & Development,23,3,Medical,1,2,Male,35,3,2,Manufacturing Director,2,Divorced,17679.0,24310,0,Y,No,21,3,1,80,0,31,5,3,31,9,8,9
77,29.0,No,Travel_Rarely,722,Research & Development,14,5,Technical Degree,1,3,Male,99,4,5,Research Director,3,Married,2158.0,10223,9,Y,Yes,21,4,1,80,0,34,1,3,34,29,3,12
78,23.0,No,Travel_Rarely,728,Sales,14,3,Medical,1,2,Female,93,1,2,Manager,1,Married,10934.0,12160,0,Y,No,21,3,4,80,3,21,2,1,21,7,8,5
79,34.0,No,Non-Travel,196,Research & Development,20,2,Medical,1,4,Male,33,1,3,Research Scientist,1,Divorced,8809.0,21358,9,Y,No,14,3,4,80,0,23,4,3,23,7,8,3
80,36.0,No,Travel_Rarely,1405,Sales,23,3,Life Sciences,1,1,Female,96,1,4,Manager,3,Single,10909.0,13522,1,Y,No,25,3,2,80,3,38,1,2,38,6,10,2
81,43.0,No,Non-Travel,918,Research & Development,17,4,Human Resources,1,4,Female,85,3,3,Manufacturing Director,4,Single,14756.0,5568,9,Y,No,12,3,4,80,0,29,4,1,29,5,11,5
82,49.0,No,Travel_Rarely,698,Research & Development,22,2,Human Resources,1,4,Male,47,2,2,Healthcare Representative,3,Divorced,10610.0,26590,4,Y,No,17,4,1,80,1,31,0,4,31,3,13,3
83,23.0,No,Non-Travel,1033,Research & Development,25,1,Human Resources,1,4,Female,61,2,4,Research Director,4,Married,11876.0,13314,6,Y,Yes,21,4,2,80,2,30,2,3,30,0,2,0
84,53.0,No,Travel_Rarely,528,Sales,19,1,Life Sciences,1,4,Male,77,1,2,Sales Executive,2,Divorced,4571.0,10298,0,Y,No,13,3,1,80,1,22,5,2,22,14,2,1
85,55.0,Yes,Non-Travel,1249,Research & Development,20,5,Marketing,1,4,Male,58,2,4,Manager,2,Married,14889.0,22177,0,Y,No,19,3,3,80,2,39,5,2,39,30,12,10
86,28.0,No,Travel_Frequently,1424,Research & Development,24,5,Marketing,1,4,Female,61,4,2,Manufacturing Director,3,Divorced,4606.0,2201,3,Y,No,17,3,1,80,0,32,4,1,32,24,13,1
87,50.0,No,Travel_Rarely,642,Research & Development,28,4,Technical Degree,1,4,Male,54,3,1,Laboratory Technician,4,Married,4964.0,9956,9,Y,No,18,3,2,80,1,24,3,2,24,14,10,6
88,41.0,Yes,Travel_Rarely,466,Research & Development,21,1,Marketing,1,1,Male,92,1,5,Manager,2,Married,11680.0,9385,5,Y,No,19,3,1,80,3,35,6,1,35,32,12,30
89,40.0,Yes,Travel_Rarely,1168,Research & Development,21,1,Marketing,1,1,Male,38,2,5,Research Director,4,Married,1707.0,8007,8,Y,Yes,18,3,2,80,2,23,5,1,23,19,7,4
90,32.0,No,Travel_Rarely,1439,Research & Development,17,1,Human Resources,1,2,Male,43,1,4,Healthcare Representative,4,Married,10330.0,3794,0,Y,Yes,17,3,2,80,2,30,0,1,30,2,0,0
91,44.0,Yes,Travel_Rarely,1312,Sales,6,1,Other,1,2,Male,49,1,1,Sales Executive,4,Married,8880.0,3408,9,Y,No,25,3,4,80,0,38,0,4,38,4,5,0
92,28.0,Yes,Travel_Rarely,151,Research & Development,14,3,Medical,1,3,Female,39,3,3,Healthcare Representative,3,Divorced,19631.0,2916,4,Y,No,19,3,1,80,2,12,3,4,12,4,5,1
93,34.0,No,Travel_Rarely,663,Research & Development,18,2,Marketing,1,3,Female,40,3,1,Manager,4,Single,6793.0,22815,8,Y,No,21,3,4,80,2,9,0,2,9,3,8,1
94,31.0,No,Travel_Frequently,1455,Research & Development,17,2,Marketing,1,1,Female,68,2,4,Manufacturing Director,3,Single,4964.0,9778,7,Y,No,11,4,4,80,2,22,6,4,22,16,15,11
95,44.0,Yes,Travel_Rarely,598,Research & Development,6,4,Life Sciences,1,1,Male,48,3,1,Research Director,2,Married,5612.0,11876,6,Y,No,21,3,1,80,0,17,2,1,17,13,1,12
96,35.0,No,Travel_Rarely,1076,Research & Development,5,3,Technical Degree,1,3,Male,48,4,3,Healthcare Representative,2,Married,17217.0,16440,9,Y,No,25,3,2,80,1,31,4,1,31,25,13,23
97,45.0,No,Travel_Rarely,1441,Research & Development,13,1,Other,1,1,Male,72,1,4,Manufacturing Director,1,Divorced,15145.0,8346,1,Y,No,14,3,3,80,0,32,0,4,32,28,7,27
98,21.0,No,Travel_Rarely,422,Research & Development,16,1,Life Sciences,1,3,Male,90,3,5,Laboratory Technician,1,Married,4408.0,17869,8,Y,No,14,3,1,80,3,35,2,2,35,7,6,7
99,24.0,No,Travel_Rarely,1353,Sales,21,5,Human Resources,1,2,Male,99,2,1,Sales Representative,2,Married,18028.0,5166,7,Y,No,15,3,4,80,2,27,3,1,27,1,1,0
100,52.0,No,Travel_Rarely,1467,Sales,9,5,Medical,1,1,Male,94,2,5,Sales Representative,4,Married,14895.0,9344,9,Y,No,18,3,4,80,2,15,4,4,15,7,0,1
101,26.0,No,Travel_Rarely,1494,Sales,12,4,Technical Degree,1,1,Male,52,2,5,Sales Representative,4,Married,19050.0,18448,9,Y,Yes,20,3,2,80,1,15,3,3,15,0,3,0
102,25.0,No,Travel_Rarely,655,Research & Development,10,1,Life Sciences,1,3,Male,89,4,2,Research Scientist,2,Divorced,10971.0,23032,8,Y,No,11,3,4,80,2,17,4,2,17,3,1,1
103,34.0,No,Travel_Rarely,1415,Research & Development,26,4,Marketing,1,4,Female,39,3,3,Research Director,2,Single,9872.0,22703,8,Y,No,16,4,3,80,1,7,6,2,7,2,2,1
104,34.0,Yes,Non-Travel,1370,Research & Development,13,3,Marketing,1,4,Female,92,3,1,Healthcare Representative,1,Married,13621.0,5650,8,Y,Yes,19,3,4,80,2,15,0,2,15,4,13,2
105,50.0,No,Non-Travel,318,Human Resources,19,2,Technical Degree,1,2,Female,31,4,5,Manager,4,Divorced,10359.0,16715,2,Y,Yes,20,4,2,80,2,10,0,3,10,4,14,0
106,49.0,No,Travel_Rarely,633,Sales,16,1,Marketing,1,1,Female,65,3,5,Sales Executive,2,Divorced,9246.0,8398,6,Y,Yes,18,3,1,80,0,5,4,1,5,4,1,2
107,25.0,No,Travel_Frequently,741,Research & Development,17,3,Life Sciences,1,1,Female,86,3,3,Manager,1,Married,1526.0,4015,0,Y,No,25,3,2,80,0,0,2,2,0,0,13,0
108,36.0,No,Travel_Rarely,618,Research & Development,16,1,Life Sciences,1,3,Male,95,3,5,Manufacturing Director,1,Married,2202.0,17940,8,Y,Yes,12,3,4,80,3,11,2,4,11,11,8,1
109,55.0,No,Travel_Rarely,1473,Sales,14,5,Marketing,1,4,Male,49,4,5,Manager,4,Single,18787.0,6024,8,Y,Yes,17,3,2,80,1,37,2,2,37,23,3,9
110,20.0,No,Travel_Rarely,143,Sales,16,4,Marketing,1,4,Female,71,4,5,Manager,1,Married,12342.0,24698,2,Y,No,15,3,4,80,3,27,1,4,27,18,15,17
111,22.0,Yes,Travel_Rarely,164,Sales,24,5,Human Resources,1,2,Female,50,2,5,Sales Representative,1,Divorced,19999.0,10804,4,Y,No,12,3,2,80,0,16,5,2,16,11,0,11
112,30.0,No,Travel_Frequently,345,Sales,15,2,Medical,1,4,Female,95,4,2,Manager,3,Married,12366.0,10843,7,Y,Yes,21,3,1,80,1,0,5,4,0,0,7,0
113,48.0,No,Travel_Rarely,1086,Human Resources,12,5,Technical Degree,1,4,Female,67,4,2,Human Resources,2,Single,7009.0,15005,5,Y,No,11,3,4,80,0,31,5,4,31,19,3,0
114,33.0,No,Travel_Rarely,1194,Research & Development,5,1,Life Sciences,1,4,Male,98,2,4,Research Scientist,4,Single,4032.0,3387,9,Y,No,12,3,3,80,1,7,2,4,7,0,15,0
115,49.0,No,Travel_Rarely,257,Research & Development,11,5,Technical Degree,1,3,Female,53,4,1,Laboratory Technician,2,Single,11958.0,23563,9,Y,No,21,3,3,80,2,39,0,3,39,6,13,2
116,39.0,No,Travel_Rarely,1037,Research & Development,5,1,Human Resources,1,4,Female,55,3,3,Research Director,3,Single,12334.0,24982,8,Y,No,20,3,3,80,3,23,6,3,23,16,9,15
117,46.0,Yes,Travel_Rarely,1148,Research & Development,24,2,Life Sciences,1,2,Male,31,1,4,Laboratory Technician,4,Single,4875.0,24863,2,Y,Yes,16,3,3,80,3,9,1,3,9,1,10,1
118,39.0,Yes,Travel_Rarely,924,Sales,24,5,Human Resources,1,4,Female,75,2,2,Sales Representative,2,Married,11972.0,6763,6,Y,No,21,3,4,80,1,38,2,1,38,6,10,6
119,60.0,No,Non-Travel,1346,Research & Development,11,4,Human Resources,1,2,Male,63,1,2,Manager,1,Single,17145.0,22493,5,Y,No,22,3,4,80,3,38,0,4,38,16,7,14
120,20.0,Yes,Travel_Rarely,259,Research & Development,2,4,Other,1,3,Female,91,1,2,Research Scientist,4,Single,1592.0,7535,4,Y,Yes,18,3,1,80,0,9,1,1,9,2,7,0
121,27.0,No,Travel_Rarely,917,Research & Development,19,4,Marketing,1,3,Female,70,2,4,Healthcare Representative,3,Married,6143.0,14020,3,Y,No,13,3,2,80,3,35,0,3,35,28,15,0
122,59.0,Yes,Travel_Frequently,1104,Research & Development,26,5,Other,1,2,Male,44,1,2,Research Director,1,Single,16501.0,5128,4,Y,No,15,3,4,80,1,24,4,4,24,21,8,20
123,38.0,No,Travel_Rarely,174,Research & Development,26,5,Technical Degree,1,3,Female,84,1,4,Laboratory Technician,3,Single,10929.0,23250,3,Y,No,25,3,3,80,3,9,0,1,9,5,13,0
124,33.0,Yes,Travel_Rarely,237,Sales,17,5,Technical Degree,1,1,Male,32,2,2,Manager,1,Single,19840.0,7085,2,Y,No,21,3,4,80,3,18,1,3,18,10,11,1
125,29.0,No,Travel_Rarely,578,Sales,19,1,Marketing,1,1,Female,67,2,5,Manager,2,Single,9954.0,13297,6,Y,No,12,3,3,80,0,14,2,1,14,12,15,0
126,,No,Non-Travel,652,Research & Development,12,2,Other,1,1,Male,80,3,5,Research Director,2,Married,1164.0,18921,5,Y,No,22,4,1,80,2,15,5,1,15,1,9,0
127,58.0,Yes,Travel_Rarely,1426,Research & Development,20,4,Technical Degree,1,1,Female,46,2,1,Manager,2,Single,2461.0,26313,3,Y,No,18,3,2,80,0,1,1,3,1,1,6,1
128,41.0,Yes,Travel_Rarely,486,Research & Development,27,1,Other,1,1,Male,78,4,2,Manager,3,Married,13056.0,23415,8,Y,No,14,3,4,80,3,28,2,4,28,21,15,9
129,52.0,No,Non-Travel,571,Sales,23,4,Marketing,1,3,Female,50,1,1,Sales Executive,4,Divorced,18781.0,18257,0,Y,No,21,3,2,80,3,3,2,2,3,1,3,1
130,47.0,Yes,Travel_Rarely,1457,Research & Development,25,1,Life Sciences,1,2,Male,53,2,4,Manager,2,Married,11239.0,7998,0,Y,No,20,3,3,80,2,28,6,2,28,4,11,4
131,47.0,Yes,Travel_Rarely,408,Research & Development,28,5,Human Resources,1,3,Female,69,3,1,Healthcare Representative,3,Married,4579.0,16023,8,Y,No,22,3,3,80,2,30,3,1,30,29,11,7
132,52.0,Yes,Travel_Rarely,986,Sales,5,4,Human Resources,1,4,Female,49,2,2,Sales Executive,1,Divorced,2307.0,13369,6,Y,No,16,3,2,80,0,16,6,1,16,14,13,7
133,36.0,Yes,Non-Travel,800,Sales,12,5,Other,1,1,Female,64,1,4,Sales Representative,2,Married,18814.0,26063,1,Y,No,13,4,1,80,2,9,4,1,9,4,1,4
134,25.0,No,Travel_Rarely,1286,Research & Development,16,4,Technical Degree,1,1,Female,77,2,4,Research Scientist,1,Single,3010.0,12514,9,Y,No,21,3,2,80,0,26,3,4,26,19,5,11
135,43.0,No,Travel_Rarely,1099,Human Resources,1,3,Other,1,3,Female,62,1,5,Human Resources,2,Married,19573.0,20421,4,Y,No,25,3,2,80,1,40,5,1,40,22,14,6
136,57.0,Yes,Travel_Rarely,1051,Research & Development,2,1,Other,1,4,Male,85,2,4,Laboratory Technician,1,Divorced,3011.0,11154,3,Y,Yes,18,3,4,80,3,14,1,1,14,3,3,0
