EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Education_Label,PerformanceRating_Label,JobSatisfaction_Label,EnvironmentSatisfaction_Label,WorkLifeBalance_Label,TenureBucket,AgeGroup,IncomeBand,AttritionFlag,SatisfactionIndex,HighRisk,AttritionProb,RiskTier
11,54,No,Travel_Frequently,899,Sales,26,3,Marketing,2,Female,90,1,2,Manager,3,Single,14132,14844,8,No,19,3,2,1,28,0,1,28,7,9,6,Bachelor,Excellent,High,Medium,Low,20+ yrs,46-55,10K-15K,0,2.0,0,0.3558,Medium
12,52,No,Travel_Rarely,1433,Human Resources,6,3,Technical Degree,2,Male,80,1,3,Manager,3,Married,9330,21891,8,No,16,3,4,1,30,4,4,30,0,2,0,Bachelor,Excellent,High,Medium,Very High,20+ yrs,46-55,6K-10K,0,3.25,0,0.3423,Medium
13,40,No,Travel_Rarely,707,Research & Development,22,2,Human Resources,2,Male,41,2,1,Laboratory Technician,2,Married,8364,2029,3,No,24,3,1,3,5,3,1,5,1,13,0,College,Excellent,Medium,Medium,Low,3-6 yrs,36-45,6K-10K,0,1.5,1,0.4787,Medium
14,23,No,Travel_Rarely,258,Sales,7,4,Life Sciences,4,Female,37,3,2,Sales Representative,4,Divorced,16008,11663,3,No,12,4,4,1,3,5,2,3,1,11,0,Master,Outstanding,Very High,Very High,Medium,1-3 yrs,18-25,15K+,0,3.5,0,0.3153,Medium
15,21,No,Travel_Rarely,1237,Sales,7,3,Medical,4,Female,87,2,4,Sales Executive,2,Married,6333,19793,3,Yes,13,3,2,1,28,2,2,28,17,10,16,Bachelor,Excellent,Medium,Very High,Medium,20+ yrs,18-25,6K-10K,0,2.5,1,0.4448,Medium
16,35,No,Travel_Rarely,635,Sales,2,1,Other,4,Female,52,1,5,Sales Executive,4,Divorced,7086,5679,2,No,15,4,3,1,2,0,2,2,2,6,1,Below College,Outstanding,Very High,Very High,Medium,1-3 yrs,26-35,6K-10K,0,3.25,0,0.3825,Medium
17,26,Yes,Travel_Rarely,262,Research & Development,25,1,Marketing,3,Male,66,2,4,Manufacturing Director,4,Married,5111,16764,7,Yes,21,4,2,1,0,5,4,0,0,5,0,Below College,Outstanding,Very High,High,Very High,<1 yr,26-35,3K-6K,1,3.25,1,0.6824,High
18,46,Yes,Travel_Rarely,385,Research & Development,4,4,Human Resources,1,Male,40,2,3,Research Director,4,Single,19999,23531,4,No,21,3,1,1,14,1,4,14,13,7,13,Master,Excellent,Very High,Low,Very High,10-20 yrs,46-55,15K+,1,2.5,1,0.4093,Medium
19,30,No,Travel_Rarely,964,Research & Development,13,5,Other,1,Female,46,1,4,Manufacturing Director,2,Single,5046,2125,6,No,25,3,3,2,20,3,1,20,10,3,9,Doctor,Excellent,Medium,Low,Low,10-20 yrs,26-35,3K-6K,0,1.75,1,0.4167,Medium
20,34,No,Travel_Rarely,154,Sales,29,2,Marketing,3,Male,85,1,4,Sales Executive,2,Married,2844,6908,9,No,15,3,1,2,30,0,3,30,17,8,1,College,Excellent,Medium,High,High,20+ yrs,26-35,<3K,0,2.25,1,0.3886,Medium
21,49,No,Travel_Rarely,675,Research & Development,10,1,Other,3,Male,82,3,5,Manager,1,Single,15078,8642,5,No,23,3,2,1,6,3,2,6,2,14,2,Below College,Excellent,Low,High,Medium,3-6 yrs,46-55,15K+,0,2.0,1,0.3207,Medium
22,39,Yes,Travel_Frequently,132,Sales,9,1,Medical,4,Male,96,3,5,Sales Representative,4,Single,1314,21642,8,Yes,19,3,1,1,16,0,4,16,7,0,6,Below College,Excellent,Very High,Very High,Very High,10-20 yrs,36-45,<3K,1,3.25,1,0.6179,High
23,21,No,Travel_Rarely,657,Sales,15,4,Human Resources,2,Male,31,1,4,Manager,2,Married,17584,10845,2,No,20,3,4,3,18,6,2,18,13,11,5,Master,Excellent,Medium,Medium,Medium,10-20 yrs,18-25,15K+,0,2.5,1,0.3447,Medium
24,22,Yes,Travel_Rarely,830,Research & Development,12,5,Human Resources,2,Female,58,1,5,Research Scientist,1,Divorced,15153,26525,5,No,13,3,3,1,38,1,1,38,5,15,5,Doctor,Excellent,Low,Medium,Low,20+ yrs,18-25,15K+,1,1.75,1,0.5598,Medium
25,54,Yes,Travel_Frequently,1092,Research & Development,27,5,Marketing,4,Male,86,4,4,Research Director,4,Single,7621,15648,2,No,12,3,1,0,2,4,4,2,2,12,0,Doctor,Excellent,Very High,Very High,Very High,1-3 yrs,46-55,6K-10K,1,3.25,1,0.497,Medium
26,58,No,Travel_Rarely,900,Research & Development,10,4,Other,4,Female,63,4,2,Research Scientist,2,Divorced,6108,10932,1,No,20,3,3,2,29,1,3,29,13,6,4,Master,Excellent,Medium,Very High,High,20+ yrs,55+,6K-10K,0,3.0,1,0.2294,Low
27,30,No,Travel_Rarely,295,Sales,19,1,Medical,1,Male,31,3,4,Sales Representative,2,Divorced,6014,20645,2,No,18,3,3,1,34,2,3,34,6,8,6,Below College,Excellent,Medium,Low,High,20+ yrs,26-35,6K-10K,0,2.25,1,0.4606,Medium
28,51,No,Travel_Rarely,547,Research & Development,21,2,Life Sciences,4,Female,60,2,1,Research Director,2,Married,6050,9953,1,No,17,3,2,2,28,3,4,28,9,15,4,College,Excellent,Medium,Very High,Very High,20+ yrs,46-55,6K-10K,0,3.0,1,0.3347,Medium
29,39,No,Travel_Rarely,1024,Research & Development,5,1,Human Resources,2,Male,73,1,5,Manufacturing Director,3,Single,7156,26866,1,No,22,3,2,1,13,4,3,13,12,15,3,Below College,Excellent,High,Medium,High,10-20 yrs,36-45,6K-10K,0,2.5,0,0.3184,Medium
30,40,No,Travel_Rarely,191,Sales,7,5,Life Sciences,2,Male,85,1,5,Sales Executive,1,Single,1932,13183,9,No,19,4,3,0,34,3,1,34,16,9,10,Doctor,Outstanding,Low,Medium,Low,20+ yrs,36-45,<3K,0,1.75,1,0.3859,Medium
31,20,No,Travel_Rarely,707,Research & Development,28,1,Medical,3,Male,83,2,3,Research Scientist,2,Married,4241,12769,6,Yes,13,3,1,1,27,5,3,27,26,13,4,Below College,Excellent,Medium,High,High,20+ yrs,18-25,3K-6K,0,2.25,1,0.3281,Medium
32,59,No,Travel_Rarely,1351,Sales,20,2,Human Resources,1,Male,82,3,3,Sales Executive,3,Married,2288,12931,9,No,16,3,3,2,29,0,2,29,18,0,0,College,Excellent,High,Low,Medium,20+ yrs,55+,<3K,0,2.25,0,0.3489,Medium
33,51,Yes,Travel_Rarely,385,Sales,11,3,Human Resources,3,Male,75,4,1,Sales Executive,1,Divorced,2466,20077,2,Yes,15,3,2,2,25,2,2,25,16,9,10,Bachelor,Excellent,Low,High,Medium,20+ yrs,46-55,<3K,1,2.0,1,0.6331,High
34,49,No,Travel_Rarely,973,Human Resources,16,1,Other,1,Female,83,3,5,Manager,1,Married,8086,7887,7,No,15,3,1,2,6,2,2,6,3,15,2,Below College,Excellent,Low,Low,Medium,3-6 yrs,46-55,6K-10K,0,1.25,1,0.311,Medium
35,38,No,Travel_Frequently,1358,Human Resources,13,4,Life Sciences,3,Female,60,2,5,Human Resources,3,Single,17221,23028,1,No,20,3,3,3,38,3,4,38,14,2,5,Master,Excellent,High,High,Very High,20+ yrs,36-45,15K+,0,3.25,0,0.4206,Medium
36,38,No,Travel_Rarely,201,Research & Development,28,3,Other,1,Male,53,1,3,Manufacturing Director,1,Single,7236,4821,6,No,18,3,2,2,30,6,4,30,25,6,22,Bachelor,Excellent,Low,Low,Very High,20+ yrs,36-45,6K-10K,0,2.0,1,0.4851,Medium
37,28,No,Travel_Rarely,239,Research & Development,4,4,Technical Degree,4,Male,54,4,3,Healthcare Representative,3,Married,16190,22046,2,No,11,3,3,1,4,2,4,4,3,8,3,Master,Excellent,High,Very High,Very High,3-6 yrs,26-35,15K+,0,3.5,0,0.3178,Medium
38,56,Yes,Travel_Rarely,934,Sales,16,4,Life Sciences,2,Male,64,2,4,Sales Representative,4,Single,19999,16754,8,Yes,11,3,3,0,34,3,4,34,24,13,1,Master,Excellent,Very High,Medium,Very High,20+ yrs,55+,15K+,1,3.25,1,0.6743,High
39,21,Yes,Travel_Rarely,365,Research & Development,13,4,Life Sciences,4,Male,86,1,5,Laboratory Technician,2,Married,19999,18025,6,No,13,4,3,0,13,0,4,13,12,0,6,Master,Outstanding,Medium,Very High,Very High,10-20 yrs,18-25,15K+,1,3.25,1,0.5202,Medium
40,18,No,Travel_Frequently,1465,Research & Development,29,1,Technical Degree,1,Female,98,3,5,Manufacturing Director,3,Married,15724,18218,8,No,21,3,1,1,35,0,1,35,4,5,0,Below College,Excellent,High,Low,Low,20+ yrs,18-25,15K+,0,1.5,1,0.3571,Medium
41,45,Yes,Travel_Rarely,672,Sales,1,5,Medical,1,Female,57,4,4,Manager,1,Single,12051,13421,1,No,12,3,2,3,26,3,4,26,3,10,2,Doctor,Excellent,Low,Low,Very High,20+ yrs,36-45,10K-15K,1,2.0,1,0.6272,High
42,41,Yes,Non-Travel,634,Research & Development,22,3,Medical,3,Male,62,1,5,Manager,1,Single,5536,23578,5,Yes,12,3,2,1,23,1,3,23,11,13,7,Bachelor,Excellent,Low,High,High,20+ yrs,36-45,3K-6K,1,2.25,1,0.6207,High
43,52,No,Travel_Rarely,622,Sales,4,2,Human Resources,1,Male,82,1,1,Sales Representative,4,Married,16292,3395,4,No,12,4,4,2,39,1,1,39,30,1,29,College,Outstanding,Very High,Low,Low,20+ yrs,46-55,15K+,0,2.5,0,0.2991,Low
44,30,Yes,Travel_Rarely,115,Human Resources,27,5,Marketing,4,Male,45,1,3,Manager,4,Single,13447,21351,1,Yes,14,3,3,3,28,0,4,28,2,4,2,Doctor,Excellent,Very High,Very High,Very High,20+ yrs,26-35,10K-15K,1,3.75,1,0.6613,High
45,51,Yes,Travel_Rarely,660,Sales,15,1,Other,1,Female,55,1,3,Sales Representative,4,Single,3713,5961,3,No,11,4,3,1,21,4,3,21,20,14,13,Below College,Outstanding,Very High,Low,High,20+ yrs,46-55,3K-6K,1,2.75,1,0.5241,Medium
46,28,Yes,Travel_Rarely,977,Research & Development,26,4,Marketing,1,Male,41,1,3,Manager,4,Married,14368,4614,3,Yes,20,3,4,3,7,1,1,7,2,13,2,Master,Excellent,Very High,Low,Low,6-10 yrs,26-35,10K-15K,1,2.5,1,0.6198,High
47,53,No,Travel_Frequently,435,Research & Development,26,2,Human Resources,3,Female,60,3,2,Research Scientist,4,Divorced,15702,17053,7,No,25,3,3,0,14,3,2,14,9,6,3,College,Excellent,Very High,High,Medium,10-20 yrs,46-55,15K+,0,3.0,0,0.2798,Low
48,34,No,Travel_Rarely,1009,Research & Development,21,3,Marketing,1,Female,56,2,1,Manufacturing Director,2,Single,14055,25254,6,No,19,3,1,1,4,0,1,4,1,13,1,Bachelor,Excellent,Medium,Low,Low,3-6 yrs,26-35,10K-15K,0,1.25,1,0.4148,Medium
49,52,No,Travel_Frequently,269,Research & Development,27,5,Life Sciences,3,Male,65,4,1,Research Director,3,Married,1870,19928,4,Yes,24,3,4,1,3,2,4,3,0,6,0,Doctor,Excellent,High,High,Very High,1-3 yrs,46-55,<3K,0,3.5,1,0.5435,Medium
50,35,Yes,Non-Travel,1012,Sales,25,5,Life Sciences,2,Female,88,3,4,Sales Representative,4,Married,3279,7225,8,Yes,15,3,2,0,10,2,1,10,9,9,8,Doctor,Excellent,Very High,Medium,Low,6-10 yrs,26-35,3K-6K,1,2.25,1,0.6721,High
51,57,No,Travel_Rarely,218,Human Resources,16,2,Technical Degree,3,Male,32,4,2,Manager,4,Married,8874,14093,0,No,15,4,3,3,17,6,1,17,1,15,0,College,Outstanding,Very High,High,Low,10-20 yrs,55+,6K-10K,0,2.75,0,0.3004,Medium
52,39,Yes,Travel_Frequently,1165,Research & Development,4,1,Technical Degree,1,Female,61,1,5,Laboratory Technician,2,Divorced,2033,16702,3,Yes,19,3,2,0,29,1,2,29,23,6,5,Below College,Excellent,Medium,Low,Medium,20+ yrs,36-45,<3K,1,1.75,1,0.6379,High
53,41,No,Travel_Frequently,1112,Human Resources,17,3,Human Resources,2,Male,44,2,1,Manager,3,Married,10463,14689,4,No,24,3,3,3,14,4,1,14,10,11,7,Bachelor,Excellent,High,Medium,Low,10-20 yrs,36-45,10K-15K,0,2.25,0,0.3324,Medium
54,36,No,Non-Travel,109,Research & Development,11,2,Human Resources,1,Male,95,1,2,Healthcare Representative,4,Divorced,3073,9986,7,No,15,3,4,1,5,5,1,5,2,3,2,College,Excellent,Very High,Low,Low,3-6 yrs,36-45,3K-6K,0,2.5,0,0.3021,Medium
55,54,No,Non-Travel,529,Research & Development,25,4,Human Resources,3,Female,92,3,2,Research Director,3,Single,13181,23266,2,No,23,3,2,3,15,1,2,15,6,11,2,Master,Excellent,High,High,Medium,10-20 yrs,46-55,10K-15K,0,2.5,0,0.346,Medium
56,56,No,Travel_Rarely,148,Human Resources,5,3,Life Sciences,4,Female,30,3,1,Human Resources,3,Single,13905,16660,4,No,23,3,3,3,39,4,4,39,31,5,19,Bachelor,Excellent,High,Very High,Very High,20+ yrs,55+,10K-15K,0,3.5,0,0.3319,Medium
57,38,Yes,Non-Travel,306,Sales,26,5,Marketing,2,Female,34,4,4,Sales Representative,2,Divorced,7664,14660,2,Yes,21,3,1,2,8,1,3,8,6,10,1,Doctor,Excellent,Medium,Medium,High,6-10 yrs,36-45,6K-10K,1,2.0,1,0.6691,High
58,25,Yes,Non-Travel,613,Sales,13,2,Other,4,Male,35,1,2,Sales Executive,2,Married,8268,22817,6,No,24,3,4,2,33,2,1,33,33,9,26,College,Excellent,Medium,Very High,Low,20+ yrs,18-25,6K-10K,1,2.75,1,0.5266,Medium
59,45,No,Travel_Rarely,1333,Sales,12,5,Human Resources,4,Female,34,1,3,Sales Executive,4,Single,9171,9034,9,No,18,3,3,2,26,4,2,26,8,5,1,Doctor,Excellent,Very High,Very High,Medium,20+ yrs,36-45,6K-10K,0,3.25,0,0.2535,Low
60,22,No,Travel_Rarely,1262,Research & Development,29,5,Human Resources,2,Male,57,2,2,Laboratory Technician,1,Married,19999,11637,2,No,21,3,3,0,12,2,1,12,2,6,1,Doctor,Excellent,Low,Medium,Low,10-20 yrs,18-25,15K+,0,1.75,1,0.6076,High
61,34,No,Travel_Rarely,136,Research & Development,27,5,Life Sciences,4,Female,98,2,5,Research Director,2,Divorced,14695,15580,6,No,11,4,3,0,35,6,4,35,1,8,0,Doctor,Outstanding,Medium,Very High,Very High,20+ yrs,26-35,10K-15K,0,3.25,1,0.4521,Medium
62,54,No,Non-Travel,317,Sales,23,1,Other,4,Male,73,1,1,Manager,3,Divorced,2766,12160,1,No,11,3,4,2,26,3,4,26,18,5,15,Below College,Excellent,High,Very High,Very High,20+ yrs,46-55,<3K,0,3.75,0,0.2849,Low
63,53,No,Non-Travel,1401,Research & Development,3,5,Life Sciences,4,Female,45,4,5,Healthcare Representative,3,Single,8433,19480,6,Yes,14,4,3,1,8,3,2,8,1,11,0,Doctor,Outstanding,High,Very High,Medium,6-10 yrs,46-55,6K-10K,0,3.0,1,0.3407,Medium
64,36,No,Travel_Rarely,279,Research & Development,4,4,Other,4,Female,51,2,4,Healthcare Representative,4,Divorced,7091,3204,8,No,18,3,3,1,4,0,3,4,4,9,3,Master,Excellent,Very High,Very High,High,3-6 yrs,36-45,6K-10K,0,3.5,0,0.3414,Medium
65,44,No,Travel_Rarely,229,Sales,28,4,Life Sciences,2,Female,52,1,3,Manager,4,Single,3242,12112,4,No,13,3,2,1,21,2,3,21,2,0,0,Master,Excellent,Very High,Medium,High,20+ yrs,36-45,3K-6K,0,2.75,0,0.3571,Medium
66,51,Yes,Non-Travel,710,Research & Development,10,3,Marketing,1,Male,72,1,1,Manufacturing Director,4,Single,7306,26331,5,No,11,3,2,0,30,2,1,30,4,7,4,Bachelor,Excellent,Very High,Low,Low,20+ yrs,46-55,6K-10K,1,2.0,1,0.4159,Medium
67,28,No,Travel_Rarely,758,Sales,9,5,Human Resources,4,Male,97,1,2,Manager,3,Married,11101,25703,9,No,21,3,4,3,2,6,2,2,2,1,1,Doctor,Excellent,High,Very High,Medium,1-3 yrs,26-35,10K-15K,0,3.25,0,0.4272,Medium
68,29,No,Travel_Frequently,458,Research & Development,10,5,Medical,2,Female,72,3,3,Manager,2,Single,10910,5583,2,No,22,4,4,0,29,0,3,29,26,2,13,Doctor,Outstanding,Medium,Medium,High,20+ yrs,26-35,10K-15K,0,2.75,1,0.2715,Low
69,38,No,Travel_Frequently,726,Sales,13,2,Medical,2,Male,55,4,2,Sales Representative,1,Married,12026,18256,9,Yes,19,3,1,2,20,3,4,20,6,11,5,College,Excellent,Low,Medium,Very High,10-20 yrs,36-45,10K-15K,0,2.0,1,0.4341,Medium
70,28,Yes,Travel_Frequently,1127,Human Resources,1,1,Human Resources,2,Female,70,1,4,Manager,2,Married,12052,13331,4,No,19,3,3,3,34,3,3,34,5,4,0,Below College,Excellent,Medium,Medium,High,20+ yrs,26-35,10K-15K,1,2.5,1,0.6457,High
71,56,Yes,Travel_Rarely,1206,Research & Development,12,3,Human Resources,2,Male,99,1,1,Healthcare Representative,1,Married,17129,9539,4,No,19,3,2,1,5,4,2,5,5,5,0,Bachelor,Excellent,Low,Medium,Medium,3-6 yrs,55+,15K+,1,1.75,1,0.5435,Medium
72,45,Yes,Travel_Rarely,1277,Sales,11,5,Human Resources,3,Male,60,1,4,Manager,2,Single,19999,13611,2,No,19,3,2,0,27,4,4,27,0,6,0,Doctor,Excellent,Medium,High,Very High,20+ yrs,36-45,15K+,1,2.75,1,0.6562,High
73,22,No,Travel_Rarely,605,Sales,21,2,Human Resources,1,Female,46,2,4,Manager,4,Single,1070,25524,7,No,12,4,3,0,31,5,1,31,25,11,13,College,Outstanding,Very High,Low,Low,20+ yrs,18-25,<3K,0,2.25,0,0.3818,Medium
74,34,Yes,Travel_Rarely,917,Research & Development,8,1,Other,1,Female,38,1,4,Research Director,3,Married,10201,4038,5,Yes,24,3,3,2,36,6,4,36,16,3,2,Below College,Excellent,High,Low,Very High,20+ yrs,26-35,10K-15K,1,2.75,1,0.6614,High
75,37,No,Travel_Rarely,893,Research & Development,26,3,Marketing,4,Male,84,3,4,Research Director,1,Married,8482,26563,2,No,24,3,4,1,24,3,3,24,13,2,0,Bachelor,Excellent,Low,Very High,High,20+ yrs,36-45,6K-10K,0,3.0,1,0.3277,Medium
76,58,No,Travel_Rarely,938,Research & Development,23,3,Medical,2,Male,35,3,2,Manufacturing Director,2,Divorced,17679,24310,0,No,21,3,1,0,31,5,3,31,9,8,9,Bachelor,Excellent,Medium,Medium,High,20+ yrs,55+,15K+,0,2.0,1,0.3198,Medium
77,29,No,Travel_Rarely,722,Research & Development,14,5,Technical Degree,3,Male,99,4,5,Research Director,3,Married,2158,10223,9,Yes,21,4,1,0,34,1,3,34,29,3,12,Doctor,Outstanding,High,High,High,20+ yrs,26-35,<3K,0,2.5,1,0.3615,Medium
78,23,No,Travel_Rarely,728,Sales,14,3,Medical,2,Female,93,1,2,Manager,1,Married,10934,12160,0,No,21,3,4,3,21,2,1,21,7,8,5,Bachelor,Excellent,Low,Medium,Low,20+ yrs,18-25,10K-15K,0,2.0,1,0.4461,Medium
79,34,No,Non-Travel,196,Research & Development,20,2,Medical,4,Male,33,1,3,Research Scientist,1,Divorced,8809,21358,9,No,14,3,4,0,23,4,3,23,7,8,3,College,Excellent,Low,Very High,High,20+ yrs,26-35,6K-10K,0,3.0,1,0.2908,Low
80,36,No,Travel_Rarely,1405,Sales,23,3,Life Sciences,1,Female,96,1,4,Manager,3,Single,10909,13522,1,No,25,3,2,3,38,1,2,38,6,10,2,Bachelor,Excellent,High,Low,Medium,20+ yrs,36-45,10K-15K,0,2.0,0,0.4334,Medium
81,43,No,Non-Travel,918,Research & Development,17,4,Human Resources,4,Female,85,3,3,Manufacturing Director,4,Single,14756,5568,9,No,12,3,4,0,29,4,1,29,5,11,5,Master,Excellent,Very High,Very High,Low,20+ yrs,36-45,10K-15K,0,3.25,0,0.2555,Low
82,49,No,Travel_Rarely,698,Research & Development,22,2,Human Resources,4,Male,47,2,2,Healthcare Representative,3,Divorced,10610,26590,4,No,17,4,1,1,31,0,4,31,3,13,3,College,Outstanding,High,Very High,Very High,20+ yrs,46-55,10K-15K,0,3.0,0,0.2877,Low
83,23,No,Non-Travel,1033,Research & Development,25,1,Human Resources,4,Female,61,2,4,Research Director,4,Married,11876,13314,6,Yes,21,4,2,2,30,2,3,30,0,2,0,Below College,Outstanding,Very High,Very High,High,20+ yrs,18-25,10K-15K,0,3.25,1,0.4788,Medium
84,53,No,Travel_Rarely,528,Sales,19,1,Life Sciences,4,Male,77,1,2,Sales Executive,2,Divorced,4571,10298,0,No,13,3,1,1,22,5,2,22,14,2,1,Below College,Excellent,Medium,Very High,Medium,20+ yrs,46-55,3K-6K,0,2.25,1,0.3385,Medium
85,55,Yes,Non-Travel,1249,Research & Development,20,5,Marketing,4,Male,58,2,4,Manager,2,Married,14889,22177,0,No,19,3,3,2,39,5,2,39,30,12,10,Doctor,Excellent,Medium,Very High,Medium,20+ yrs,46-55,10K-15K,1,2.75,1,0.4913,Medium
86,28,No,Travel_Frequently,1424,Research & Development,24,5,Marketing,4,Female,61,4,2,Manufacturing Director,3,Divorced,4606,2201,3,No,17,3,1,0,32,4,1,32,24,13,1,Doctor,Excellent,High,Very High,Low,20+ yrs,26-35,3K-6K,0,2.25,0,0.2763,Low
87,50,No,Travel_Rarely,642,Research & Development,28,4,Technical Degree,4,Male,54,3,1,Laboratory Technician,4,Married,4964,9956,9,No,18,3,2,1,24,3,2,24,14,10,6,Master,Excellent,Very High,Very High,Medium,20+ yrs,46-55,3K-6K,0,3.0,0,0.3289,Medium
88,41,Yes,Travel_Rarely,466,Research & Development,21,1,Marketing,1,Male,92,1,5,Manager,2,Married,11680,9385,5,No,19,3,1,3,35,6,1,35,32,12,30,Below College,Excellent,Medium,Low,Low,20+ yrs,36-45,10K-15K,1,1.25,1,0.5687,Medium
89,40,Yes,Travel_Rarely,1168,Research & Development,21,1,Marketing,1,Male,38,2,5,Research Director,4,Married,1707,8007,8,Yes,18,3,2,2,23,5,1,23,19,7,4,Below College,Excellent,Very High,Low,Low,20+ yrs,36-45,<3K,1,2.0,1,0.6833,High
90,32,No,Travel_Rarely,1439,Research & Development,17,1,Human Resources,2,Male,43,1,4,Healthcare Representative,4,Married,10330,3794,0,Yes,17,3,2,2,30,0,1,30,2,0,0,Below College,Excellent,Very High,Medium,Low,20+ yrs,26-35,10K-15K,0,2.25,1,0.4073,Medium
91,44,Yes,Travel_Rarely,1312,Sales,6,1,Other,2,Male,49,1,1,Sales Executive,4,Married,8880,3408,9,No,25,3,4,0,38,0,4,38,4,5,0,Below College,Excellent,Very High,Medium,Very High,20+ yrs,36-45,6K-10K,1,3.5,1,0.5599,Medium
92,28,Yes,Travel_Rarely,151,Research & Development,14,3,Medical,3,Female,39,3,3,Healthcare Representative,3,Divorced,19631,2916,4,No,19,3,1,2,12,3,4,12,4,5,1,Bachelor,Excellent,High,High,Very High,10-20 yrs,26-35,15K+,1,2.75,1,0.3697,Medium
93,34,No,Travel_Rarely,663,Research & Development,18,2,Marketing,3,Female,40,3,1,Manager,4,Single,6793,22815,8,No,21,3,4,2,9,0,2,9,3,8,1,College,Excellent,Very High,High,Medium,6-10 yrs,26-35,6K-10K,0,3.25,0,0.2962,Low
94,31,No,Travel_Frequently,1455,Research & Development,17,2,Marketing,1,Female,68,2,4,Manufacturing Director,3,Single,4964,9778,7,No,11,4,4,2,22,6,4,22,16,15,11,College,Outstanding,High,Low,Very High,20+ yrs,26-35,3K-6K,0,3.0,0,0.3872,Medium
